th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
simple,1.05,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,1.0,1,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.1,0.1,1,2,0.87,0.764,0.976,0.97,3.466,12.245,0.0
simple,1.1,0.1,3,2,0.872,0.759,0.984,0.98,8.236,20.196,0.0
simple,1.1,0.1,5,2,0.872,0.755,0.988,0.985,8.102,16.022,0.0
simple,1.1,0.1,7,2,0.868,0.747,0.988,0.985,9.38,18.619,0.0
simple,1.1,0.2,1,2,0.834,0.665,1.0,1.0,3.859,14.46,0.0
simple,1.1,0.2,3,2,0.83,0.657,1.0,1.0,6.331,13.248,0.0
simple,1.1,0.2,5,2,0.83,0.657,1.0,1.0,7.102,14.235,0.0
simple,1.1,0.2,7,2,0.828,0.653,1.0,1.0,8.027,15.08,0.0
simple,1.1,0.3,1,2,0.778,0.553,1.0,1.0,1.874,6.361,0.0
simple,1.1,0.3,3,2,0.774,0.545,1.0,1.0,5.747,10.843,0.0
simple,1.1,0.3,5,2,0.774,0.545,1.0,1.0,6.75,12.194,0.0
simple,1.1,0.3,7,2,0.772,0.541,1.0,1.0,9.682,22.285,0.0
simple,1.1,0.4,1,2,0.696,0.387,1.0,1.0,6.34,18.369,0.0
simple,1.1,0.4,3,2,0.69,0.375,1.0,1.0,8.881,18.875,0.0
simple,1.1,0.4,5,2,0.686,0.366,1.0,1.0,8.714,18.797,0.0
simple,1.1,0.4,7,2,0.684,0.362,1.0,1.0,10.922,26.378,0.0
simple,1.1,0.5,1,2,0.618,0.229,1.0,1.0,3.693,7.404,0.0
simple,1.1,0.5,3,2,0.616,0.225,1.0,1.0,10.476,21.745,0.1
simple,1.1,0.5,5,2,0.612,0.216,1.0,1.0,9.634,21.891,0.1
simple,1.1,0.5,7,2,0.612,0.216,1.0,1.0,14.926,36.805,0.1
simple,1.1,0.6,1,2,0.564,0.118,1.0,1.0,1.04,2.35,0.0
simple,1.1,0.6,3,2,0.564,0.118,1.0,1.0,4.497,7.352,0.8
simple,1.1,0.6,5,2,0.564,0.118,1.0,1.0,4.697,7.46,0.8
