th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
simple,1.15,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.15,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.1,3,2,0.817,0.631,1.0,1.0,4.566,7.748,0.4
simple,1.2,0.1,5,2,0.783,0.566,1.0,1.0,5.284,7.812,0.5
simple,1.2,0.1,7,2,0.74,0.479,1.0,1.0,4.936,7.114,0.5
simple,1.2,0.2,3,2,0.617,0.232,1.0,1.0,0.0,0.0,0.0
simple,1.2,0.2,5,2,0.617,0.232,1.0,1.0,0.0,0.0,0.0
simple,1.2,0.2,7,2,0.617,0.232,1.0,1.0,0.0,0.0,0.0
simple,1.2,0.3,3,2,0.617,0.232,1.0,1.0,2.025,4.703,0.0
simple,1.2,0.3,5,2,0.613,0.225,1.0,1.0,1.23,2.364,0.0
simple,1.2,0.3,7,2,0.613,0.225,1.0,1.0,1.205,2.3,0.0
simple,1.2,0.4,3,2,0.597,0.194,1.0,1.0,3.615,5.678,0.6
simple,1.2,0.4,5,2,0.593,0.187,1.0,1.0,5.247,7.612,1.8
simple,1.2,0.4,7,2,0.593,0.187,1.0,1.0,5.354,7.653,1.8
simple,1.2,0.5,3,2,0.57,0.142,1.0,1.0,5.14,6.551,2.6
simple,1.2,0.5,5,2,0.56,0.12,1.0,1.0,2.767,2.235,2.5
simple,1.2,0.5,7,2,0.55,0.101,1.0,1.0,2.813,2.549,1.7
simple,1.2,0.6,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.6,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.6,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.2,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
