alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,simple,1.0,0.6,7,2,0.648,0.29,1.0,1.0,9.841,19.541,0.2
0.333,2000,simple,1.0,0.7,3,2,0.594,0.181,1.0,1.0,5.357,10.01,0.2
0.333,2000,simple,1.0,0.7,5,2,0.592,0.177,1.0,1.0,11.824,20.827,0.2
0.333,2000,simple,1.0,0.7,7,2,0.588,0.169,1.0,1.0,7.642,12.185,0.1
0.333,2000,simple,1.0,0.8,3,2,0.53,0.05,1.0,1.0,5.2,5.972,3.2
0.333,2000,simple,1.0,0.8,5,2,0.53,0.05,1.0,1.0,11.567,5.174,11.7
0.333,2000,simple,1.0,0.8,7,2,0.53,0.05,1.0,1.0,11.567,5.174,11.7
0.333,2000,simple,1.0,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.0,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,0.1,3,2,0.846,0.704,0.988,0.984,7.094,15.735,0.0
0.333,2000,simple,1.05,0.1,5,2,0.846,0.7,0.992,0.99,7.827,16.381,0.0
0.333,2000,simple,1.05,0.1,7,2,0.84,0.688,0.992,0.989,6.828,13.681,0.2
0.333,2000,simple,1.05,0.2,3,2,0.8,0.598,1.0,1.0,5.235,12.397,0.0
0.333,2000,simple,1.05,0.2,5,2,0.798,0.594,1.0,1.0,6.062,13.772,0.0
0.333,2000,simple,1.05,0.2,7,2,0.794,0.585,1.0,1.0,5.75,11.719,0.0
0.333,2000,simple,1.05,0.3,3,2,0.766,0.53,1.0,1.0,7.29,16.236,0.0
0.333,2000,simple,1.05,0.3,5,2,0.764,0.525,1.0,1.0,9.197,20.334,0.0
0.333,2000,simple,1.05,0.3,7,2,0.758,0.512,1.0,1.0,7.016,13.911,0.2
0.333,2000,simple,1.05,0.4,3,2,0.726,0.447,1.0,1.0,5.672,11.431,0.0
