,cv_step,n_neighbors,weights,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
137,0,3,uniform,0.5,daytime,1.0,7,0.767,0.481,1.0,1.0,20.308,10.476,24.0
138,0,3,uniform,0.5,daytime,1.05,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
139,0,3,uniform,0.5,daytime,1.05,5,0.767,0.481,1.0,1.0,18.538,11.732,23.0
140,0,3,uniform,0.5,daytime,1.05,7,0.767,0.481,1.0,1.0,20.385,10.492,24.0
141,0,3,uniform,0.5,daytime,1.1,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
142,0,3,uniform,0.5,daytime,1.1,5,0.767,0.481,1.0,1.0,18.538,11.732,23.0
143,0,3,uniform,0.5,daytime,1.1,7,0.767,0.481,1.0,1.0,20.385,10.492,24.0
144,0,3,uniform,0.5,daytime,1.15,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
145,0,3,uniform,0.5,daytime,1.15,5,0.767,0.481,1.0,1.0,18.538,11.732,23.0
146,0,3,uniform,0.5,daytime,1.15,7,0.767,0.481,1.0,1.0,20.385,10.492,24.0
147,0,3,uniform,0.5,daytime,1.2,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
148,0,3,uniform,0.5,daytime,1.2,5,0.767,0.481,1.0,1.0,18.538,11.732,23.0
149,0,3,uniform,0.5,daytime,1.2,7,0.767,0.481,1.0,1.0,20.462,10.522,25.0
150,0,3,uniform,0.6,simple,1.0,3,0.767,0.481,1.0,1.0,18.462,11.764,22.0
151,0,3,uniform,0.6,simple,1.0,5,0.733,0.407,1.0,1.0,19.818,11.126,25.0
152,0,3,uniform,0.6,simple,1.0,7,0.7,0.333,1.0,1.0,19.333,12.238,25.0
153,0,3,uniform,0.6,simple,1.05,3,0.767,0.481,1.0,1.0,18.538,11.699,22.0
154,0,3,uniform,0.6,simple,1.05,5,0.733,0.407,1.0,1.0,19.909,11.033,25.0
155,0,3,uniform,0.6,simple,1.05,7,0.7,0.333,1.0,1.0,19.556,12.276,25.0
156,0,3,uniform,0.6,simple,1.1,3,0.767,0.481,1.0,1.0,18.538,11.699,22.0
157,0,3,uniform,0.6,simple,1.1,5,0.733,0.407,1.0,1.0,19.909,11.033,25.0
158,0,3,uniform,0.6,simple,1.1,7,0.7,0.333,1.0,1.0,19.556,12.276,25.0
159,0,3,uniform,0.6,simple,1.15,3,0.75,0.444,1.0,1.0,17.5,11.587,21.5
160,0,3,uniform,0.6,simple,1.15,5,0.733,0.407,1.0,1.0,20.0,11.095,25.0
161,0,3,uniform,0.6,simple,1.15,7,0.7,0.333,1.0,1.0,19.778,12.488,25.0
162,0,3,uniform,0.6,simple,1.2,3,0.75,0.444,1.0,1.0,17.5,11.587,21.5
163,0,3,uniform,0.6,simple,1.2,5,0.7,0.333,1.0,1.0,19.556,12.212,25.0
164,0,3,uniform,0.6,simple,1.2,7,0.683,0.296,1.0,1.0,17.75,11.766,25.0
165,0,3,uniform,0.6,daytime,1.0,3,0.783,0.519,1.0,1.0,18.286,11.354,21.5
166,0,3,uniform,0.6,daytime,1.0,5,0.75,0.444,1.0,1.0,18.417,12.257,24.0
167,0,3,uniform,0.6,daytime,1.0,7,0.717,0.37,1.0,1.0,19.2,11.496,25.0
168,0,3,uniform,0.6,daytime,1.05,3,0.767,0.481,1.0,1.0,18.462,11.764,22.0
169,0,3,uniform,0.6,daytime,1.05,5,0.733,0.407,1.0,1.0,17.273,12.174,23.0
170,0,3,uniform,0.6,daytime,1.05,7,0.717,0.37,1.0,1.0,19.2,11.496,25.0
171,0,3,uniform,0.6,daytime,1.1,3,0.767,0.481,1.0,1.0,18.462,11.764,22.0
172,0,3,uniform,0.6,daytime,1.1,5,0.733,0.407,1.0,1.0,17.364,12.197,23.0
173,0,3,uniform,0.6,daytime,1.1,7,0.7,0.333,1.0,1.0,19.222,12.173,25.0
174,0,3,uniform,0.6,daytime,1.15,3,0.767,0.481,1.0,1.0,18.462,11.764,22.0
175,0,3,uniform,0.6,daytime,1.15,5,0.733,0.407,1.0,1.0,17.364,12.197,23.0
176,0,3,uniform,0.6,daytime,1.15,7,0.7,0.333,1.0,1.0,19.444,12.375,25.0
177,0,3,uniform,0.6,daytime,1.2,3,0.767,0.481,1.0,1.0,18.462,11.764,22.0
178,0,3,uniform,0.6,daytime,1.2,5,0.733,0.407,1.0,1.0,17.364,12.197,23.0
179,0,3,uniform,0.6,daytime,1.2,7,0.7,0.333,1.0,1.0,19.444,12.375,25.0
180,0,3,uniform,0.7,simple,1.0,3,0.717,0.37,1.0,1.0,19.3,11.533,24.0
181,0,3,uniform,0.7,simple,1.0,5,0.65,0.222,1.0,1.0,14.5,11.983,16.0
182,0,3,uniform,0.7,simple,1.0,7,0.633,0.185,1.0,1.0,12.8,12.448,9.0
183,0,3,uniform,0.7,simple,1.05,3,0.7,0.333,1.0,1.0,19.333,12.156,26.0
184,0,3,uniform,0.7,simple,1.05,5,0.65,0.222,1.0,1.0,14.5,11.983,16.0
185,0,3,uniform,0.7,simple,1.05,7,0.633,0.185,1.0,1.0,13.0,12.247,9.0
186,0,3,uniform,0.7,simple,1.1,3,0.7,0.333,1.0,1.0,19.333,12.156,26.0
187,0,3,uniform,0.7,simple,1.1,5,0.633,0.185,1.0,1.0,12.8,12.448,9.0
188,0,3,uniform,0.7,simple,1.1,7,0.633,0.185,1.0,1.0,13.0,12.247,9.0
189,0,3,uniform,0.7,simple,1.15,3,0.7,0.333,1.0,1.0,19.333,12.156,26.0
190,0,3,uniform,0.7,simple,1.15,5,0.633,0.185,1.0,1.0,12.8,12.448,9.0
191,0,3,uniform,0.7,simple,1.15,7,0.633,0.185,1.0,1.0,13.0,12.247,9.0
192,0,3,uniform,0.7,simple,1.2,3,0.683,0.296,1.0,1.0,18.625,12.469,24.5
193,0,3,uniform,0.7,simple,1.2,5,0.633,0.185,1.0,1.0,13.2,12.057,9.0
194,0,3,uniform,0.7,simple,1.2,7,0.633,0.185,1.0,1.0,13.2,12.057,9.0
195,0,3,uniform,0.7,daytime,1.0,3,0.767,0.481,1.0,1.0,20.615,10.688,25.0
196,0,3,uniform,0.7,daytime,1.0,5,0.717,0.37,1.0,1.0,18.5,10.745,24.0
197,0,3,uniform,0.7,daytime,1.0,7,0.633,0.185,1.0,1.0,12.4,12.274,8.0
198,0,3,uniform,0.7,daytime,1.05,3,0.733,0.407,1.0,1.0,19.636,11.146,25.0
199,0,3,uniform,0.7,daytime,1.05,5,0.7,0.333,1.0,1.0,17.444,10.823,23.0
200,0,3,uniform,0.7,daytime,1.05,7,0.633,0.185,1.0,1.0,12.4,12.274,8.0
201,0,3,uniform,0.7,daytime,1.1,3,0.733,0.407,1.0,1.0,19.727,11.21,25.0
202,0,3,uniform,0.7,daytime,1.1,5,0.683,0.296,1.0,1.0,17.125,11.516,24.0
203,0,3,uniform,0.7,daytime,1.1,7,0.633,0.185,1.0,1.0,12.6,12.516,8.0
204,0,3,uniform,0.7,daytime,1.15,3,0.717,0.37,1.0,1.0,19.2,11.479,23.5
205,0,3,uniform,0.7,daytime,1.15,5,0.667,0.259,1.0,1.0,16.0,11.686,23.0
206,0,3,uniform,0.7,daytime,1.15,7,0.633,0.185,1.0,1.0,12.8,12.448,9.0
207,0,3,uniform,0.7,daytime,1.2,3,0.717,0.37,1.0,1.0,19.2,11.479,23.5
208,0,3,uniform,0.7,daytime,1.2,5,0.65,0.222,1.0,1.0,14.833,12.24,17.0
209,0,3,uniform,0.7,daytime,1.2,7,0.633,0.185,1.0,1.0,12.8,12.448,9.0
210,0,3,uniform,0.8,simple,1.0,3,0.583,0.074,1.0,1.0,25.5,3.5,25.5
211,0,3,uniform,0.8,simple,1.0,5,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
212,0,3,uniform,0.8,simple,1.0,7,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
213,0,3,uniform,0.8,simple,1.05,3,0.583,0.074,1.0,1.0,25.5,3.5,25.5
214,0,3,uniform,0.8,simple,1.05,5,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
215,0,3,uniform,0.8,simple,1.05,7,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
216,0,3,uniform,0.8,simple,1.1,3,0.583,0.074,1.0,1.0,25.5,3.5,25.5
217,0,3,uniform,0.8,simple,1.1,5,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
218,0,3,uniform,0.8,simple,1.1,7,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
219,0,3,uniform,0.8,simple,1.15,3,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
220,0,3,uniform,0.8,simple,1.15,5,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
221,0,3,uniform,0.8,simple,1.15,7,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
222,0,3,uniform,0.8,simple,1.2,3,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
223,0,3,uniform,0.8,simple,1.2,5,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
224,0,3,uniform,0.8,simple,1.2,7,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
225,0,3,uniform,0.8,daytime,1.0,3,0.583,0.074,1.0,1.0,25.5,3.5,25.5
226,0,3,uniform,0.8,daytime,1.0,5,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
227,0,3,uniform,0.8,daytime,1.0,7,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
228,0,3,uniform,0.8,daytime,1.05,3,0.583,0.074,1.0,1.0,25.5,3.5,25.5
229,0,3,uniform,0.8,daytime,1.05,5,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
230,0,3,uniform,0.8,daytime,1.05,7,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
231,0,3,uniform,0.8,daytime,1.1,3,0.583,0.074,1.0,1.0,25.5,3.5,25.5
232,0,3,uniform,0.8,daytime,1.1,5,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
233,0,3,uniform,0.8,daytime,1.1,7,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
234,0,3,uniform,0.8,daytime,1.15,3,0.583,0.074,1.0,1.0,25.5,3.5,25.5
235,0,3,uniform,0.8,daytime,1.15,5,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
236,0,3,uniform,0.8,daytime,1.15,7,0.55,0.0,1.0,0.0,999999999.0,0.0,999999999.0
237,0,3,uniform,0.8,daytime,1.2,3,0.583,0.074,1.0,1.0,25.5,3.5,25.5
